date,feature_index,temperature-mean
2021-01-26T00:00:00.000Z,0,27827.316498316497
2021-01-28T00:00:00.000Z,0,27563.252525252527
2021-07-14T00:00:00.000Z,0,29922.457912457914
2021-07-15T00:00:00.000Z,0,29988.511784511786
2021-07-12T00:00:00.000Z,0,29842.03367003367
2021-07-13T00:00:00.000Z,0,29792.622895622895
2021-04-04T00:00:00.000Z,0,27843.828282828283
2021-04-05T00:00:00.000Z,0,27891.555555555555
2021-04-06T00:00:00.000Z,0,28194.25925925926
2021-04-03T00:00:00.000Z,0,28055.289562289563
2021-05-21T00:00:00.000Z,0,28866.643097643097
2021-05-24T00:00:00.000Z,0,29012.85185185185
2021-05-22T00:00:00.000Z,0,29031.68686868687
2021-05-23T00:00:00.000Z,0,29195.632996632998
2021-03-14T00:00:00.000Z,0,27880.757575757576
2021-03-15T00:00:00.000Z,0,28037.710437710437
2021-03-16T00:00:00.000Z,0,27948.41414141414
2021-03-17T00:00:00.000Z,0,28009.693602693602
2021-05-04T00:00:00.000Z,0,28518.006734006733
2021-05-02T00:00:00.000Z,0,28957.276094276094
2021-05-03T00:00:00.000Z,0,28926.057239057238
2021-05-01T00:00:00.000Z,0,28899.62962962963
2021-03-25T00:00:00.000Z,0,27486.670033670034
2021-03-23T00:00:00.000Z,0,27518.222222222223
2021-03-24T00:00:00.000Z,0,27412.55218855219
2021-03-22T00:00:00.000Z,0,27589.87542087542
2021-01-21T00:00:00.000Z,0,27231.78787878788
2021-01-22T00:00:00.000Z,0,27795.76430976431
2021-01-23T00:00:00.000Z,0,27967.107744107743
2021-01-24T00:00:00.000Z,0,27961.9797979798
2021-02-26T00:00:00.000Z,0,27922.296296296296
2021-02-27T00:00:00.000Z,0,27777.703703703704
2021-02-28T00:00:00.000Z,0,27612.010101010103
2021-03-01T00:00:00.000Z,0,27510.377104377105
2021-02-01T00:00:00.000Z,0,28104.309764309764
2021-01-29T00:00:00.000Z,0,27494.636363636364
2021-01-30T00:00:00.000Z,0,27795.781144781144
2021-01-31T00:00:00.000Z,0,27676.956228956227
2021-02-15T00:00:00.000Z,0,26853.83164983165
2021-02-17T00:00:00.000Z,0,26534.063973063974
2021-02-14T00:00:00.000Z,0,26740.063973063974
2021-02-16T00:00:00.000Z,0,26657.75420875421
2021-07-18T00:00:00.000Z,0,30124.727272727272
2021-07-17T00:00:00.000Z,0,30055.791245791246
2021-07-16T00:00:00.000Z,0,30066.98653198653
2021-07-19T00:00:00.000Z,0,30207.872053872055
2021-01-02T00:00:00.000Z,0,27712.942760942762
2021-01-01T00:00:00.000Z,0,27938.39393939394
2021-01-03T00:00:00.000Z,0,27521.36026936027
2021-01-04T00:00:00.000Z,0,27482.569023569024
2021-07-21T00:00:00.000Z,0,29848.548821548822
2021-07-20T00:00:00.000Z,0,30192.703703703704
2021-07-22T00:00:00.000Z,0,29517.973063973062
2021-07-23T00:00:00.000Z,0,29488.39393939394
2021-05-09T00:00:00.000Z,0,28377.949494949495
2021-05-10T00:00:00.000Z,0,28609.993265993267
2021-05-11T00:00:00.000Z,0,28721.508417508416
2021-05-12T00:00:00.000Z,0,28443.34006734007
2021-07-25T00:00:00.000Z,0,29783.760942760942
2021-07-24T00:00:00.000Z,0,29591.956228956227
2021-07-27T00:00:00.000Z,0,29975.03367003367
2021-07-26T00:00:00.000Z,0,29950.47138047138
2021-03-27T00:00:00.000Z,0,27990.62962962963
2021-03-28T00:00:00.000Z,0,28164.11447811448
2021-03-29T00:00:00.000Z,0,27911.218855218856
2021-03-26T00:00:00.000Z,0,27792.451178451178
2021-05-16T00:00:00.000Z,0,29242.11111111111
2021-05-14T00:00:00.000Z,0,28977.989898989897
2021-05-15T00:00:00.000Z,0,29123.08754208754
2021-05-13T00:00:00.000Z,0,28748.804713804715
2021-01-13T00:00:00.000Z,0,27210.892255892257
2021-01-15T00:00:00.000Z,0,26990.902356902356
2021-01-14T00:00:00.000Z,0,27166.242424242424
2021-01-16T00:00:00.000Z,0,26774.303030303032
2021-02-03T00:00:00.000Z,0,27943.249158249157
2021-02-05T00:00:00.000Z,0,27457.838383838385
